Be cool.	Entspann dich!
I don't know why Tom is so busy today.	Ich weiß nicht, warum Tom heute so beschäftigt ist.
I don't need to be at today's meeting.	Ich brauche bei der Sitzung heute nicht dabeizusein.
I don't really want to live in Boston.	Ich will eigentlich nicht in Boston leben.
I don't think Tom will ever come back.	Tom kommt, glaube ich, nie wieder.
I don't think we need to wait for Tom.	Ich denke nicht, dass wir auf Tom warten müssen.
I had intended to go, but I forgot to.	Ich wollte hin, aber ich habe es vergessen.
I have a fish bone stuck in my throat.	Ich habe eine Gräte in meiner Kehle stecken.
I have something more important to do.	Ich habe etwas Wichtigeres zu tun.
I haven't read "War and Peace" either.	Ich habe „Krieg und Frieden“ auch noch nicht gelesen.
I hope I haven't misspelled your name.	Ich hoffe, dass ich deinen Namen nicht falsch geschrieben habe.
I know a very good way to get it done.	Ich weiß einen guten Weg, wie es gemacht wird.
I need a little help with my homework.	Ich brauche etwas Hilfe bei den Hausaufgaben.
I saw a spider walking on the ceiling.	Ich sah eine Spinne über die Zimmerdecke krabbeln.
I spent all the savings I had on this.	Ich habe alle meine Ersparnisse dafür ausgegeben.
I still don't understand how it works.	Ich verstehe noch nicht, wie es funktioniert.
I swim almost every day in the summer.	Im Sommer schwimme ich fast jeden Tag.
I think you should cut Tom some slack.	Ich meine, du solltest mit Tom etwas nachsichtiger sein.
I think you'd better go and visit him.	Ich denke, du solltest ihn besser besuchen.
I think you're the one who needs help.	Ich denke, dass du derjenige bist, der Hilfe braucht.
I thought I was doing the right thing.	Ich glaubte, das Richtige zu tun.
I thought you might like one of these.	Ich dachte, du würdest einen davon mögen.
I trusted Tom more than I should have.	Ich habe Tom mehr vertraut, als ratsam war.
I want to be a teacher when I grow up.	Wenn ich groß bin, möchte ich Lehrerin werden.
I want to consult you about something.	Ich hätte gerne deinen Rat in einer Sache.
I want you to come with me to see Tom.	Ich möchte, dass Sie mit mir Tom besuchen kommen.
I was quick tempered when I was young.	Als ich jung war, war ich hitzköpfig.
I will be sixteen years old next year.	Nächstes Jahr bin ich sechzehn Jahre alt.
I wish I didn't have so many problems.	Ich wünschte, ich hätte nicht so viele Probleme.
I would like to be an English teacher.	Ich wäre gerne Englischlehrer.
I'd like to talk about your situation.	Ich würde gerne über deine Situation sprechen.
I'd like you to meet a friend of mine.	Ich würde dir gerne einen meiner Freunde vorstellen.
I'm a thirty-year-old unmarried woman.	Ich bin eine 30-jährige unverheiratete Frau.
I'm almost finished reading this book.	Ich habe dieses Buch so gut wie durchgelesen.
I'm beginning to think you're serious.	Langsam glaube ich, das ist dein Ernst.
I've always been interested in botany.	Ich habe mich schon immer für Botanik interessiert.
I've been asked to give you a message.	Ich bin gebeten worden, euch eine Nachricht zu übergeben.
I've got a feeling Tom might be right.	Mich dünkt, Tom könnte recht haben.
I've just had new tires put on my car.	Ich habe bei meinem Wagen gerade neue Reifen aufziehen lassen.
If Tom wants our help, he should call.	Wenn Tom unsere Hilfe will, dann soll er sich melden.
If you flatter him, he'll do anything.	Wenn du ihm schmeichelst, macht er alles für dich.
If you need money, I'll lend you some.	Wenn du Geld brauchst, borge ich dir etwas.
Is anyone coming besides your friends?	Kommt außer Ihren Freunden noch jemand?
Is it true that you caught a scorpion?	Stimmt es, dass du einen Skorpion gefangen hast?
Is there an elevator in this building?	Gibt es in diesem Gebäude einen Aufzug?
It is bold of you to say such a thing.	Es ist kühn von dir, so etwas zu sagen.
It is very hot in this room, isn't it?	Es ist sehr heiß in diesem Zimmer, nicht wahr?
It took me a long time to get over it.	Ich habe lange gebraucht, um darüber hinwegzukommen.
It's against the law to carry weapons.	Es ist gesetzeswidrig, Waffen zu tragen.
It's quite possible that I'm mistaken.	Es ist gut möglich, dass ich falschliege.
It's the biggest building in the city.	Das ist das größte Gebäude in der Stadt.
Large areas of the ocean are polluted.	Große Teile des Meers sind verunreinigt.
Looks like that's a pretty big museum.	Sieht aus, als wäre es ein recht großes Museum.
Many Americans wanted a gold standard.	Viele Amerikaner wollten einen Goldstandard.
Maybe you should take your own advice.	Vielleicht solltest du deinen eigenen Rat befolgen.
Most girls think that they are pretty.	Die meisten Mädchen denken, dass sie hübsch sind.
My baby can't talk yet. He just cries.	Mein Baby kann noch nicht sprechen; er schreit nur.
My grandmother raised a family of ten.	Meine Großmutter zog eine zehnköpfige Familie auf.
No students could answer the question.	Kein Schüler konnte die Frage beantworten.
Our picnic plates are made of plastic.	Unsere Picknickteller sind aus Plastik.
Please correct the following sentence.	Bitte korrigiere den folgenden Satz.
Please forgive me for being so clumsy.	Bitte verzeih mir, dass ich so unbeholfen bin.
Please send my regards to your family.	Bitte übermittle meine Grüße an deine Familie.
Promise me you'll never do that again.	Versprich mir, dass du das nie wieder tun wirst!
Repeating a lie does not make it true.	Die Wiederholung einer Lüge macht diese nicht zur Wahrheit.
Repeating a lie does not make it true.	Durch Wiederholung wird eine Lüge nicht zur Wahrheit.
She helped her mother clean the house.	Sie half ihrer Mutter dabei, das Haus aufzuräumen.
She must have been rich in those days.	Sie muss damals reich gewesen sein.
She threw a disapproving glance at me.	Sie warf mir einen missbilligenden Blick zu.
Something is slowing down my computer.	Irgendwas verlangsamt meinen Rechner.
Street racing is dangerous and stupid.	Straßenrennen sind gefährlich und dumm.
Thankfully, Tom didn't break anything.	Zum Glück hat Tom nichts kaputtgemacht.
That happens all the time, doesn't it?	Das passiert ständig. Findest du nicht?
That name doesn't mean anything to me.	Der Name sagt mir gar nichts.
That tape recorder recorded his voice.	Der Kassettenrekorder nahm seine Stimme auf.
That'd be the last thing I want to do.	Das wäre das Letzte, was ich tun wollte.
The animals were busy collecting nuts.	Emsig lasen die Tiere Nüsse auf.
The baseball season opens before long.	Die Baseball-Saison fängt bald an.
The conference is to be held in Tokyo.	Die Konferenz soll in Tokio stattfinden.
The crowd gathered around the speaker.	Die Menge versammelte sich um den Sprecher.
The doctor warned him against smoking.	Der Arzt warnte ihn vor dem Rauchen.
The dress in the window caught my eye.	Das Kleid im Schaufenster ist mir ins Auge gefallen.
The gambler lost a good deal of money.	Der Spieler verlor jede Menge Geld.
The heavy rain kept us from going out.	Der starke Regen hielt uns davon ab, hinauszugehen.
The man strikes me as being dishonest.	Der Mann dünkt mich unehrlich.
The movie was almost three hours long.	Der Film war fast drei Stunden lang.
The restaurant is on the ground floor.	Das Restaurant befindet sich im Erdgeschoss.
The ring was not to be found anywhere.	Der Ring war nirgendwo zu finden.
The student made a reasonable request.	Der Student machte ein vernünftiges Gesuch.
The tall man looked at Tom and smiled.	Der große Mann schaute Tom an und lächelte.
The witch cursed the poor little girl.	Die Hexe verfluchte das arme kleine Mädchen.
The work must be finished before noon.	Die Arbeit muss bis zwölf erledigt sein.
There are forty students in our class.	In unserer Klasse sind vierzig Schüler.
There are too many people in the park.	Es sind zu viele Menschen im Park.
There is no advantage in staying here.	Es gibt keinen Vorteil, hier zu bleiben.
There is no need for you to stay here.	Es ist nicht notwendig, dass du hier bleibst.
There's still some warm tea in my cup.	In meiner Tasse ist noch etwas warmer Tee.
They called the village New Amsterdam.	Sie nannten das Dorf Neu-Amsterdam.
They can communicate using hand signs.	Die können mit Hilfe von Handzeichen kommunizieren.
They charged me for the broken window.	Das kaputte Fenster wurde mir in Rechnung gestellt.
They kicked us out of the bar at 2:30.	Wir wurden um 2.30 Uhr aus der Kneipe geworfen.
They said storage costs were too high.	Sie sagten, die Lagerkosten seien zu hoch.
They're having extreme money problems.	Sie haben heftige Geldprobleme.
This book has many beautiful pictures.	Dieses Buch hat viele schöne Bilder.
This coffee machine was made in Italy.	Diese Kaffeemaschine ist ein italienisches Fabrikat.
This computer has a Pentium processor.	Dieser Computer hat einen Pentium-Prozessor.
This is one of Boston's finest hotels.	Dies ist eines der besten Hotels in Boston.
This is the best school in the county.	Dies ist die beste Schule des Landes.
This is the plate that Tom ate off of.	Von diesem Teller hat Tom gegessen.
This is where Tom pointed to, I think.	Hierhin hat Tom gedeutet, denke ich.
This smartphone uses an ARM processor.	Dieses Schlaufon arbeitet mit einem ARM-Prozessor.
This telescope must be used carefully.	Dieses Teleskop muss vorsichtig benutzt werden.
Tom always looked busy, but never was.	Tom sah immer beschäftigt aus, war es aber nie.
Tom always worries about his daughter.	Tom macht sich ständig um seine Tochter Sorgen.
Tom and I used to be on the same team.	Gewöhnlich waren Tom und ich im selben Team.
Tom and Mary are getting married soon.	Tom und Mary heiraten bald.
Tom and Mary were very happy together.	Tom und Maria waren zusammen sehr glücklich.
Tom asked Mary to wake him up at 2:30.	Tom bat Maria, ihn um halb drei zu wecken.
Tom asked me if I wasn't feeling well.	Tom fragte mich, ob es mir nicht gutgehe.
Tom didn't have the courage to say no.	Tom hatte nicht den Mut, nein zu sagen.
Tom doesn't seem to understand French.	Tom versteht anscheinend kein Französisch.
Tom has a dentist appointment at 2:30.	Tom hat um halb drei einen Termin beim Zahnarzt.
Tom has a good chance of being chosen.	Tom hat gute Aussichten, gewählt zu werden.
Tom has a picture he wants to show us.	Tom hat ein Bild bei sich, das er uns zeigen möchte.
Tom has decided not to move to Boston.	Tom hat sich entschieden, nicht nach Boston zu ziehen.
Tom is going through a midlife crisis.	Tom hat eine Midlifecrisis.
Tom is in his room listening to music.	Tom ist in seinem Zimmer und hört Musik.
Tom laughed and Mary laughed with him.	Tom lachte, und Maria stimmte ein.
Tom made a couple of good suggestions.	Tom hat einige gute Vorschläge vorgebracht.
Tom might not eat this kind of cheese.	Es könnte sein, dass Tom diese Art von Käse nicht isst.
Tom raised his hand to ask a question.	Tom meldete sich, um eine Frage zu stellen.
Tom reluctantly handed Mary the money.	Tom übergab Maria widerwillig das Geld.
Tom remained in Boston for a few days.	Tom blieb in Boston für ein paar Tage.
Tom said Mary was too busy to help us.	Tom sagte, Maria sei zu beschäftigt, um uns zu helfen.
Tom sat down beside Mary on the bench.	Tom setzte sich neben Maria auf die Bank.
Tom sat down in front of his computer.	Tom setzte sich an seinen Rechner.
Tom sat down on the sand next to Mary.	Tom setzte sich neben Maria in den Sand.
Tom seemed interested in nothing else.	Tom schien sich für nichts anderes zu interessieren.
Tom squandered his entire inheritance.	Tom hat seine ganze Erbschaft vergeudet.
Tom thought Mary was wasting her time.	Tom dachte, dass Maria ihre Zeit verschwende.
Tom told me he didn't have much money.	Tom sagte mir, er habe nicht viel Geld.
Tom took his wallet out of his pocket.	Tom hat sein Portemonnaie aus der Tasche genommen.
Tom unlocked the door and went inside.	Tom schloss die Tür auf und ging hinein.
Tom walks his dog at least once a day.	Tom geht mindestens einmal am Tag mit seinem Hund spazieren.
Tom was escorted out of the courtroom.	Tom wurde aus dem Gerichtssaal geführt.
Tom went to college on the East Coast.	Tom hat an der Ostküste studiert.
Tom wondered why Mary didn't like him.	Tom fragte sich, warum Maria ihn wohl nicht mochte.
Tom wrapped himself in a warm blanket.	Tom wickelte sich in eine warme Decke.
Tom's real name may not really be Tom.	Toms richtiger Name könnte nicht wirklich Tom sein.
Two boys are absent from school today.	Zwei Jungen fehlen heute in der Schule.
Unfortunately, Tom is already engaged.	Leider ist Tom schon verlobt.
We are usually at home in the evening.	Normalerweise sind wir am Abend zu Hause.
We didn't know each other at the time.	Wir kannten uns damals nicht.
We spent all evening dancing together.	Wir verbrachten den ganzen Abend damit, zusammen zu tanzen.
We study many subjects in high school.	Wir haben in der Oberschule viele Fächer.
We're going to have so much fun today.	Heute werden wir einen Heidenspaß haben!
What is it that you want me to do now?	Was ist es, das ich deiner Meinung nach wissen sollte?
What is it you really want to tell me?	Was willst du mir eigentlich sagen?
What time are you coming over tonight?	Wann kommst du heute Abend vorbei?
What time will you get to the station?	Wann wirst du zum Bahnhof gehen?
When did your family arrive in Boston?	Wann ist Ihre Familie in Boston angekommen?
Where can I exchange foreign currency?	Wo kann ich ausländische Währung wechseln?
Where did you learn to cook like this?	Wo hast du denn so kochen gelernt?
Which do you prefer, spring or autumn?	Was bevorzugen Sie: Frühling oder Herbst?
Which side of the bed do you sleep on?	Auf welcher Seite des Bettes schläfst du?
Who's the girl that Tom is talking to?	Was ist das für ein Mädchen, mit dem Tom da spricht?
Who's your favorite singer-songwriter?	Wer ist dein Lieblingsliedermacher?
Why didn't you get one before we left?	Warum bekamst du keines, bevor wir weggingen?
Why don't you write a song about that?	Schreibe doch ein Lied darüber!
Will this road take me to the station?	Komme ich auf dieser Straße zum Bahnhof?
Will you sign your name on this paper?	Würden Sie dieses Dokument unterschreiben?
Would you mind repeating the question?	Könntest du die Frage bitte wiederholen?
Would you please write your name here?	Würdest du hier bitte deinen Namen schreiben?
You could learn a few things from Tom.	Sie könnten einiges von Tom lernen.
You don't even want to think about it.	Du willst ja noch nicht einmal darüber nachdenken.
You don't want to tell me why, do you?	Du willst mir den Grund nicht nennen, oder?
You must've hated Tom for what he did.	Du musst Tom für das, was er tat, gehasst haben.
You should do your best in everything.	Sie sollten in allem Ihr Bestes geben.
You should have telephoned in advance.	Sie hätten vorab anrufen sollen.
You should make good use of your time.	Nutze deine Zeit gut.
You're not the first person to say so.	Du bist nicht der erste, der das sagt.
You're starting to get the hang of it.	So langsam bekommst du den Bogen heraus.
You're welcome to join me if you want.	Du kannst dich mir gerne anschließen, wenn du möchtest.
You've painted the walls, haven't you?	Du hast die Wände gestrichen, oder?
Is he coming? "No, I don't think so."	„Kommt er?“ — „Nein, ich glaube nicht.“
A Japanese would never do such a thing.	Ein Japaner würde so etwas nie tun.
A man's gotta do what a man's gotta do.	Ein Mann muss tun, was ein Mann tun muss.
Are you seriously thinking about going?	Denkst du ernsthaft darüber nach, zu gehen?
Are you seriously thinking about going?	Denkt ihr ernsthaft darüber nach, zu gehen?
Are you sure that you want to go there?	Bist du dir sicher, dass du dorthin willst?
Be at the station at eleven on the dot.	Sei Punkt elf am Bahnhof.
Class doesn't begin until eight-thirty.	Der Unterricht fängt erst um halb neun an.
Could you please overlook it this time?	Könnten Sie diesmal bitte darüber hinwegsehen?
Could you please overlook it this time?	Könntest du dieses Mal bitte ein Auge zudrücken?
Do you have a friend that can help you?	Haben Sie einen Freund, der Ihnen helfen kann?
Do you like the frame on this painting?	Gefällt Ihnen der Rahmen dieses Gemäldes?
Do you like the frame on this painting?	Gefällt Euch der Rahmen dieses Gemäldes?
Do you promise not to tell anyone else?	Versprichst du, es niemandem weiterzuerzählen?
Don't gamble with other people's money.	Spekuliere nicht mit dem Geld anderer Leute!
Don't tell me how to raise my children.	Erzählen Sie mir nicht, wie ich meine Kinder zu erziehen habe!
Everything depends on what you will do.	Es kommt ganz darauf an, was ihr tun werdet.
From below, the house seemed very tall.	Von unten schien das Haus sehr hoch zu sein.
Have there been any phone calls for me?	Gab es Anrufe für mich?
Have you ever heard her play the piano?	Haben Sie sie schon einmal Klavier spielen gehört?
Have you ever seen a tiger around here?	Haben Sie in dieser Gegend schon einmal einen Tiger gesehen?
He carried his grandfather on his back.	Er trug seinen Großvater auf dem Rücken.
He deserted his family and went abroad.	Er ließ seine Familie im Stich und ging ins Ausland.
He doesn't have any friends to talk to.	Er hat keine Freunde zum Reden.
He needs to be the center of attention.	Er muss immer im Mittelpunkt stehen.
He will provide you with what you need.	Er wird Ihnen beschaffen, was Sie brauchen.
How come you didn't call me last night?	Wieso hast du mich letzte Nacht nicht angerufen?
How far away do you think that ship is?	Wie weit, glaubst du, ist das Schiff entfernt?
How long has Tom been living in Boston?	Wie lang wohnt Tom schon in Boston?
How many weeks of vacation do you have?	Wie viele Urlaubswochen hast du?
I always give something to the beggars.	Ich gebe den Bettlern immer etwas.
I am to take over my father's business.	Ich soll das Geschäft meines Vaters übernehmen.
I can give you some useful information.	Ich kann Ihnen ein paar nützliche Informationen geben.
I can rip you apart with my bare hands.	Ich kann dich mit meinen bloßen Händen zerreißen.
I can speak neither French nor English.	Ich kann weder Französisch noch Englisch.
I can't afford to buy an expensive car.	Ich kann mir kein teures Auto leisten.
I can't believe Tom is getting married.	Ich kann nicht glauben, dass Tom heiratet.
I can't recall when he moved to Boston.	Ich kann mich nicht entsinnen, wann er nach Boston zog.
I didn't study either of the languages.	Ich habe keine der Sprachen studiert.
I don't have a choice. I have to do it.	Ich habe keine Wahl — ich muss es tun.
I don't have enough money to advertise.	Ich habe nicht genug Geld für Werbung.
I don't know exactly when I'll be back.	Ich weiß nicht genau, wann ich zurückkomme.
I don't know what's taking Tom so long.	Ich weiß nicht, warum Tom so lange braucht.
I don't really like dogs all that much.	Ich mag Hunde nicht besonders.
I don't think that was a wise decision.	Ich glaube nicht, dass das eine weise Entscheidung war.
I don't understand what the problem is.	Ich verstehe nicht, worin das Problem liegt.
I had a crush on you when I was twelve.	Als Zwölfjähige war ich in dich verknallt.
I have to pay more attention to myself.	Ich muss auf mich mehr Acht geben.
I hear it's buried under all that snow.	Ich habe gehört, dass er unter diesem ganzen Schnee begraben ist.
I hope you enjoyed your stay in Boston.	Ich hoffe, euer Aufenthalt in Boston hat euch gefallen.
I like white wine better than red wine.	Ich mag Weißwein lieber als Rotwein.
I never want to see you get in trouble.	Ich möchte Sie nie in Schwierigkeiten geraten sehen.
I never want to see you get in trouble.	Ich möchte euch nie in Schwierigkeiten geraten sehen.
I often played soccer when I was young.	Ich spielte oft Fußball, als ich jung war.
I saw his car make a turn to the right.	Ich sah sein Auto rechts abbiegen.
I think I'm going to break up with Tom.	Ich glaube, ich werde mit Tom Schluss machen.
I think the actions he took were right.	Ich denke, dass sein Verhalten richtig war.
I told Tom to help Mary, but he didn't.	Ich sagte Tom, dass er Mary helfen soll, aber er hat es nicht gemacht.
I want to be your ally, not your enemy.	Ich möchte dein Verbündeter und nicht dein Feind sein.
I want to become a teacher of Japanese.	Ich möchte Japanischlehrer werden.
I want to know more about your country.	Ich will mehr über Ihr Land wissen.
I want to talk to you about last night.	Ich möchte mir dir über gestern Abend reden.
I want to tell you something important.	Ich will dir etwas Wichtiges sagen.
I was awfully confused by his question.	Ich wurde von der Frage fürchterlich verwirrt.
I was awfully confused by his question.	Die Frage hatte mich gewaltig verwirrt.
I was the one that was right all along.	Ich war derjenige, der von Anfang an Recht hatte.
I wasn't the only person Tom talked to.	Ich war nicht die einzige, mit der Tom gesprochen hat.
I will finish it by tomorrow afternoon.	Ich werde es bis morgen Nachmittag fertig haben.
I wish I knew how to play the trombone.	Ich wünschte, ich könnte Posaune spielen.
I wish Tom would help me move the sofa.	Ich wünschte, Tom würde mir helfen, das Sofa zu verschieben.
I'd like to go to the seaside with you.	Ich möchte gern mit dir ans Meer fahren.
I'll expect to hear from you by Monday.	Ich erwarte, spätestens am Montag von dir zu hören.
I'll take onion rings instead of fries.	Ich nehme Zwiebelringe anstelle von Pommes frites.
I'm afraid when I'm alone in the house.	Ich habe Angst, wenn ich allein im Haus bin.
I'm drinking water because I'm thirsty.	Ich trinke Wasser, weil ich durstig bin.
I'm not accustomed to getting up early.	Ich bin es nicht gewohnt, zeitig aufzustehen.
I'm not overly interested in the event.	Ich bin an dieser Veranstaltung nicht übermäßig interessiert.
I'm not sure I want Tom working for us.	Ich bin mir nicht sicher, ob ich will, dass Tom für uns arbeitet.
I'm not the one who borrowed Tom's car.	Ich bin nicht derjenige, der sich Toms Auto geliehen hat.
I'm sure you're not going to like this.	Das wird dir bestimmt nicht gefallen.
I'm the one you talked to on the phone.	Ich bin die, mit der du telefoniert hast.
I've done some things I'm not proud of.	Ich habe einige Dinge getan, auf die ich nicht stolz bin.
I've only just started studying French.	Ich habe gerade erst angefangen, Französisch zu lernen.
In 1853, the first blue jeans came out.	Die ersten blauen Jeans gab es im Jahr 1853.
In Haiti, there was a large earthquake.	Auf Haiti ereignete sich ein großes Erdbeben.
Is it true that Tom is going to Boston?	Stimmt es, dass Tom nach Boston fährt?
Is there a school for refugee children?	Gibt es eine Schule für Flüchtlingskinder?
Is there something you want to tell me?	Gibt es etwas, das du mir zu sagen hast?
It may have rained a little last night.	Es kann letzte Nacht etwas geregnet haben.
It was to a great extent his own fault.	Er hat es sich größtenteils selbst zuzuschreiben.
It's hot outside, so let's talk inside.	Draußen ist’s heiß. Lass uns also drinnen sprechen!
Late autumn in Scotland is rather cold.	Der Spätherbst in Schottland ist ziemlich kalt.
Let's see if Tom knows more than we do.	Wir wollen mal sehen, ob Tom mehr weiß als wir.
Many things frighten people these days.	Die Leute haben in letzter Zeit vor vielem Angst.
Mary's nails were painted a bright red.	Marias Nägel waren knallrot lackiert.
Modern technology gives us many things.	Die moderne Technik beschert uns vielerlei.
Mom, could you read me a bedtime story?	Mama, kannst du mir eine Gute-Nacht-Geschichte vorlesen?
Multiple-choice tests are not uncommon.	Fragebögen zum Ankreuzen sind nicht ungewöhnlich.
My dad is the best dad in the universe.	Mein Papa ist der beste Papa des Universums.
My income and expenses aren't balanced.	Mein Einkommen und meine Ausgaben sind nicht ausgeglichen.
Now that Mary has left, Tom is happier.	Tom ist glücklicher jetzt, da Maria fort ist.
Ouch! My finger got caught in the door.	Aua! Ich habe mir den Finger in der Tür eingeklemmt!
Please help me with this heavy baggage.	Helfen Sie mir bitte bei dem schweren Gepäck.
Please take your shoes off at the door.	Ziehen Sie an der Tür bitte Ihre Schuhe aus!
Raise your hand if you know the answer.	Zeigt auf, wenn ihr die Antwort kennt.
She keeps moaning that she has no time.	Sie stöhnt andauernd, dass sie keine Zeit habe.
Some believe in God, but others do not.	Manche glauben an Gott, aber andere tun es nicht.
Something tells me I should've said no.	Irgend etwas sagt mir, ich hätte nein sagen sollen.
Steak and caviar are my favorite foods.	Steaks und Kaviar sind meine Lieblingsspeisen.
Stop wasting time and get back to work.	Hört auf, Zeit zu verschwenden, und macht euch wieder an die Arbeit.
That job gave him little gratification.	Diese Arbeit bot ihm wenig Erfüllung.
That tall boy saved the drowning child.	Dieser große Junge rettete das ertrinkende Kind.
The German course begins October fifth.	Der Deutschkurs beginnt am fünften Oktober.
The bank doesn't open for another hour.	Die Bank öffnet erst in einer Stunde.
The bus driver suffered minor injuries.	Der Fahrer des Busses wurde leicht verletzt.
The company is struggling for survival.	Die Firma kämpft ums Überleben.
The doctor ordered that he take a rest.	Der Arzt verordnete ihm Ruhe.
The first month of the year is January.	Der erste Monat des Jahres ist der Januar.
The letter will arrive in a week or so.	Der Brief wird etwa in einer Woche ankommen.
The longer you live, the older you get.	Je länger man lebt, desto älter man wird.
The man was ashamed of being born poor.	Der Mann schämte sich seiner Herkunft aus armen Verhältnissen.
The mother is looking for a babysitter.	Die Mutter sieht sich nach einem Babysitter um.
The old man sometimes talks to himself.	Der alte Mann führt manchmal Selbstgespräche.
The police found Tom dead on the porch.	Die Polizei fand Tom tot auf der Terrasse.
The post office is that brown building.	Die Post ist in dem braunen Gebäude dort.
The rumor proved to be an absolute lie.	Das Gerücht erwies sich als große Lüge.
There's something I'd like to show you.	Es gibt etwas, das ich dir zeigen möchte.
They have enough money for their bills.	Die haben genug Geld für ihre Rechnungen.
They made me swear not to say anything.	Ich musste schwören, nichts zu sagen.
They stopped quarreling when I came in.	Sie hörten auf zu zanken, als ich hereinkam.
They've been keeping something from me.	Sie haben mir etwas vorenthalten.
This is the book that I told you about.	Das ist das Buch, von dem ich dir erzählt habe.
This is the house in which he was born.	Das ist das Haus, in dem er geboren wurde.
This is why she is still angry with me.	Deshalb ist sie immer noch sauer auf mich.
This stone is too heavy for me to move.	Dieser Stein ist für mich zu schwer zu bewegen.
Tom accused Mary of stealing his money.	Tom beschuldigte Maria, ihm sein Geld gestohlen zu haben.
Tom actually figured it out by himself.	Tom ist tatsächlich von selbst darauf gekommen.
Tom and I used to play tennis together.	Tom und ich hatten Tennis zusammen gespielt.
Tom and Mary both know that isn't true.	Tom weiß ebenso wie Maria, dass das nicht stimmt.
Tom and Mary both know that's not true.	Tom weiß ebenso wie Maria, dass das nicht stimmt.
Tom and Mary got married very recently.	Tom und Maria haben vor kurzem erst geheiratet.
Tom and Mary haven't been married long.	Tom und Maria sind noch nicht lange verheiratet.
Tom called Mary, but the line was busy.	Tom rief Maria an, aber es war besetzt.
Tom challenged Mary to a game of chess.	Tom forderte Mary zu einer Partie Schach heraus.
Tom didn't allow Mary to drive his car.	Tom ließ Maria nicht ans Steuer seines Wagens.
Tom didn't tell me Mary was his cousin.	Tom hat mir nicht gesagt, dass Maria seine Kusine ist.
Tom didn't want Mary to move to Boston.	Tom wollte nicht, dass Maria nach Boston zog.
Tom doesn't have the right to say that.	Tom hat kein Recht, das zu sagen.
Tom doesn't know when Mary got married.	Tom weiß nicht, wann Mary geheiratet hat.
Tom fell in love with a beautiful girl.	Tom verliebte sich in ein schönes Mädchen.
Tom gets home almost every day at 2:30.	Tom kommt fast jeden Tag um halb drei nach Hause.
Tom goes to Australia every other year.	Tom fliegt alle zwei Jahre nach Australien.
Tom had one of his socks on inside out.	Tom hatte einen seiner Socken auf links an.
Tom is getting married tomorrow, right?	Tom heiratet morgen. Stimmt’s?
Tom is going to study French next year.	Tom hat vor, nächstes Jahr Französisch zu lernen.
Tom is the only one who understands me.	Tom ist der Einzige, der mich versteht.
Tom is three years older than his wife.	Tom ist drei Jahre älter als seine Frau.
Tom knew Mary wasn't likely to do that.	Tom wusste, dass Mary das wahrscheinlich nicht tun würde.
Tom knows Mary better than anyone else.	Tom kennt Maria besser als irgendwen sonst.
Tom knows Mary better than anyone else.	Tom kennt Maria besser als irgendeinen anderen Menschen.
Tom lives in a large house with a pool.	Tom wohnt in einem großen Haus mit Schwimmbecken.
Tom made his suggestion very tactfully.	Tom machte seinen Vorschlag sehr taktvoll.
Tom never did what he said he would do.	Tom hat sein Wort nie eingelöst.
Tom often says bad things about others.	Tom spricht oft schlecht über andere.
Tom pushed his chair back and stood up.	Tom schob seinen Stuhl zurück und stand auf.
Tom put some sugar and milk in his tea.	Tom tat etwas Zucker und Milch in seinen Tee.
Tom said his dictionary was in his bag.	Tom sagte, dass sich sein Wörterbuch in seiner Tasche befinde.
Tom sat in an armchair, reading a book.	Tom saß auf einem Sessel und las ein Buch.
Tom sometimes wears sunglasses indoors.	Tom hat manchmal im Haus eine Sonnenbrille auf.
Tom takes trumpet lessons every Monday.	Tom hat jeden Montag Trompetenunterricht.
Tom told me to invite you to his party.	Tom hat mir gesagt, ich soll dich zu seiner Party einladen.
Tom typed in his username and password.	Tom gab Benutzernamen und Kennwort ein.
Tom wanted to keep John and Mary apart.	Tom wollte Johannes und Maria voneinander fernhalten.
Tom was barely alive when we found him.	Tom war kaum noch am Leben, als wir ihn fanden.
Tom was sitting on the edge of the bed.	Tom saß auf dem Rand des Bettes.
Tom was the only one who wasn't asleep.	Tom schlief als einziger nicht.
Tom was the only one who wasn't eating.	Tom aß als einziger nichts.
Tom went to the same school that I did.	Tom hat dieselbe Schule wie ich besucht.
Tom won't be able to do that that soon.	Tom wird das nicht so bald machen können.
Tom's been out of work for half a year.	Tom ist seit einem halben Jahr arbeitslos.
Try this hat on and see if it fits you.	Probiere mal diesen Hut auf und sieh, ob er dir passt.
We got our roof damaged by the typhoon.	Unser Dach wurde vom Taifun beschädigt.
We liked the food, especially the fish.	Das Essen schmeckte uns, besonders der Fisch.
We thank you for your generous support.	Wir danken Ihnen für Ihre großzügige Unterstützung!
We're thrilled to have you on the team.	Wir freuen uns sehr, dich dabeizuhaben!
We've been dating for three months now.	Wir sind jetzt seit drei Monaten zusammen.
We've been over it three times already.	Wir haben es schon dreimal überstanden.
What did you want to talk to Tom about?	Worüber wollten Sie gern mit Tom sprechen?
What is it you'd like me to do exactly?	Was genau möchtest du denn eigentlich, dass ich tue?
What is the emergency telephone number?	Was ist die Notrufnummer?
What languages are spoken in Australia?	Welche Sprachen spricht man in Australien?
What's that you have in your left hand?	Was haben Sie da in der linken Hand?
Where can I wash my hands before I eat?	Wo kann ich mir vor dem Essen die Hände waschen?
Why didn't you tell me you were coming?	Warum haben Sie mir denn nicht gesagt, dass Sie kommen?
